                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6369,                 2.5307,                 1.7079,                0.37598,                0.33869,                0.28054,                0.19038,                 1.8809,                 2.7445,                 1.9539,               0.070017,              0.0033314,              0.0033314
                      2,                 1.6672,                 2.5745,                 1.7239,                 0.3911,                0.28352,                0.25256,                0.16754,                 1.9427,                 2.7066,                 2.0225,               0.039687,              0.0063349,              0.0063349
                      3,                   1.68,                 2.6038,                 1.7345,                0.48951,                0.25776,                0.25683,                0.17014,                 1.8916,                 3.3638,                 1.9311,              0.0090273,              0.0090083,              0.0090083
                      4,                 1.6817,                 2.6183,                 1.7429,                0.27643,                0.31519,                0.23248,                0.15473,                 1.9204,                 2.8777,                 1.9928,               0.008515,               0.008515,               0.008515
                      5,                 1.6819,                 2.6066,                 1.7356,                0.37042,                0.31416,                0.27066,                0.18336,                 1.8721,                 2.6662,                 1.8888,                0.00802,                0.00802,                0.00802
                      6,                 1.6683,                 2.5725,                 1.7234,                0.62218,                 0.2282,                0.26391,                0.17537,                 1.8904,                 2.6703,                  1.921,               0.007525,               0.007525,               0.007525
                      7,                   1.64,                 2.5273,                 1.7061,                0.34179,                 0.3089,                0.28169,                0.19076,                 1.8385,                 2.6209,                 1.9003,                0.00703,                0.00703,                0.00703
                      8,                 1.6379,                 2.5118,                 1.7047,                0.48943,                0.28009,                0.27152,                0.18521,                 1.8283,                 2.6218,                 1.8913,               0.006535,               0.006535,               0.006535
                      9,                 1.6283,                 2.5011,                 1.6938,                0.23108,                0.33503,                0.27612,                0.18653,                 1.8606,                 2.6714,                  1.915,                0.00604,                0.00604,                0.00604
                     10,                 1.6315,                  2.515,                 1.6985,                0.26246,                0.31871,                0.28458,                0.19632,                 1.8471,                 2.5936,                 1.8846,               0.005545,               0.005545,               0.005545
                     11,                 1.7412,                 2.5571,                  1.834,                0.30922,                0.33474,                0.29304,                0.20126,                  1.831,                 2.5244,                 1.8724,                0.00505,                0.00505,                0.00505
                     12,                 1.7156,                 2.5119,                 1.8272,                0.36427,                  0.305,                0.28853,                0.19713,                 1.8034,                 2.5024,                 1.8454,               0.004555,               0.004555,               0.004555
                     13,                 1.6981,                 2.4619,                 1.8033,                0.31657,                0.33657,                0.30422,                0.20421,                 1.8073,                 2.4697,                 1.8557,                0.00406,                0.00406,                0.00406
                     14,                 1.6862,                 2.4387,                 1.7976,                0.31636,                0.35089,                0.31001,                0.21207,                 1.8008,                 2.4602,                 1.8454,               0.003565,               0.003565,               0.003565
                     15,                 1.6673,                 2.3876,                 1.7827,                0.29314,                0.34489,                 0.3092,                0.21914,                  1.782,                 2.4276,                 1.8447,                0.00307,                0.00307,                0.00307
                     16,                 1.6422,                 2.3571,                 1.7612,                0.31945,                0.36611,                0.31587,                0.22241,                 1.7538,                 2.3903,                 1.8014,               0.002575,               0.002575,               0.002575
                     17,                 1.6229,                 2.3178,                 1.7518,                0.38824,                0.33698,                0.32767,                0.23361,                 1.7425,                  2.371,                 1.8037,                0.00208,                0.00208,                0.00208
                     18,                 1.6059,                 2.2702,                  1.736,                0.37984,                0.36926,                0.32962,                0.23384,                 1.7438,                 2.3504,                 1.8021,               0.001585,               0.001585,               0.001585
                     19,                 1.5923,                 2.2459,                  1.722,                0.33353,                0.37369,                0.33259,                0.23647,                 1.7194,                 2.3182,                 1.7826,                0.00109,                0.00109,                0.00109
                     20,                 1.5734,                 2.2121,                 1.7096,                0.37476,                0.36551,                0.34205,                 0.2445,                 1.7049,                 2.2982,                  1.776,               0.000595,               0.000595,               0.000595
